strength,size,separation,noisefrac,mn_sag,mn_sgd,mn_pcpt,mn_passAgr,md_sag,md_sgd,md_pcpt,md_passAgr,var_sag,var_sgd,var_pcpt,var_passAgr
300,100,0.37,0.75,1,0.998333333333,1,1,1,1,1,1,0,2.5E-05,0,0
300,100,0.37,0.8,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.37,0.85,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.37,0.9,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.38,0,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.38,0.05,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.38,0.1,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.38,0.15,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.38,0.2,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.38,0.25,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.38,0.3,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.38,0.35,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.38,0.4,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.38,0.45,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.38,0.5,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.38,0.55,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.38,0.6,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.38,0.65,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.38,0.7,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.38,0.75,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.38,0.8,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.38,0.85,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.38,0.9,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.39,0,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.39,0.05,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.39,0.1,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.39,0.15,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.39,0.2,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.39,0.25,1,1,1,0.998333333333,1,1,1,1,0,0,0,2.5E-05
300,100,0.39,0.3,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.39,0.35,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.39,0.4,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.39,0.45,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.39,0.5,1,1,0.998333333333,1,1,1,1,1,0,0,2.5E-05,0
300,100,0.39,0.55,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.39,0.6,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.39,0.65,1,1,0.998333333333,0.998333333333,1,1,1,1,0,0,2.5E-05,2.5E-05
300,100,0.39,0.7,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.39,0.75,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.39,0.8,1,1,0.998333333333,1,1,1,1,1,0,0,2.5E-05,0
300,100,0.39,0.85,1,0.998333333333,1,1,1,1,1,1,0,2.5E-05,0,0
300,100,0.39,0.9,0.998333333333,1,1,1,1,1,1,1,2.5E-05,0,0,0
300,100,0.4,0,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.4,0.05,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.4,0.1,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.4,0.15,1,1,0.998333333333,1,1,1,1,1,0,0,2.5E-05,0
300,100,0.4,0.2,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.4,0.25,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.4,0.3,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.4,0.35,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.4,0.4,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.4,0.45,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.4,0.5,1,1,1,1,1,1,1,1,0,0,0,0
